config,fork,openmp,posix
1,2.82906e+07,1.26693e+07,2.85038e+07
2,1.60181e+07,3.03912e+07,1.553e+07
4,8.72276e+06,4.85947e+06,8.7305e+06
8,5.78153e+06,3.62377e+06,5.84942e+06
16,4.94494e+06,4.49056e+06,5.52562e+06
